frame,abstime,reltime,Line 2 [C]
0,2020-07-12 21:42:35.058000,0.000000,2.490211e+01
1,2020-07-12 21:42:35.191000,0.133000,2.505797e+01
2,2020-07-12 21:42:35.325000,0.267000,2.507613e+01
3,2020-07-12 21:42:35.458000,0.400000,2.507058e+01
4,2020-07-12 21:42:35.591000,0.533000,2.505697e+01
5,2020-07-12 21:42:35.725000,0.667000,2.505338e+01
6,2020-07-12 21:42:35.858000,0.800000,2.506398e+01
7,2020-07-12 21:42:35.992000,0.934000,2.506935e+01
8,2020-07-12 21:42:36.125000,1.067000,2.508160e+01
9,2020-07-12 21:42:36.258000,1.200000,2.507430e+01
10,2020-07-12 21:42:36.391000,1.333000,2.487846e+01
11,2020-07-12 21:42:36.525000,1.467000,2.506800e+01
12,2020-07-12 21:42:36.658000,1.600000,2.505692e+01
13,2020-07-12 21:42:36.791000,1.733000,2.506611e+01
14,2020-07-12 21:42:37.058000,2.000000,2.507124e+01
15,2020-07-12 21:42:37.191000,2.133000,2.507265e+01
16,2020-07-12 21:42:37.325000,2.267000,2.507230e+01
17,2020-07-12 21:42:37.458000,2.400000,2.508055e+01
18,2020-07-12 21:42:37.591000,2.533000,2.506611e+01
19,2020-07-12 21:42:37.725000,2.667000,2.506688e+01
20,2020-07-12 21:42:37.858000,2.800000,2.482290e+01
21,2020-07-12 21:42:37.992000,2.934000,2.506293e+01
22,2020-07-12 21:42:38.125000,3.067000,2.507571e+01
23,2020-07-12 21:42:38.258000,3.200000,2.507790e+01
24,2020-07-12 21:42:38.391000,3.333000,2.507466e+01
25,2020-07-12 21:42:38.525000,3.467000,2.507548e+01
26,2020-07-12 21:42:38.658000,3.600000,2.507200e+01
27,2020-07-12 21:42:38.791000,3.733000,2.507318e+01
28,2020-07-12 21:42:38.924000,3.866000,2.502112e+01
29,2020-07-12 21:42:39.058000,4.000000,2.498668e+01
30,2020-07-12 21:42:39.325000,4.267000,2.474652e+01
31,2020-07-12 21:42:39.458000,4.400000,2.498292e+01
32,2020-07-12 21:42:39.591000,4.533000,2.498993e+01
33,2020-07-12 21:42:39.725000,4.667000,2.500892e+01
34,2020-07-12 21:42:39.858000,4.800000,2.502514e+01
35,2020-07-12 21:42:39.992000,4.934000,2.502385e+01
36,2020-07-12 21:42:40.125000,5.067000,2.500791e+01
37,2020-07-12 21:42:40.258000,5.200000,2.498792e+01
38,2020-07-12 21:42:40.391000,5.333000,2.500102e+01
39,2020-07-12 21:42:40.525000,5.467000,2.499505e+01
40,2020-07-12 21:42:40.658000,5.600000,2.473484e+01
41,2020-07-12 21:42:40.791000,5.733000,2.544661e+01
