frame,abstime,reltime,Line 2 [C]
0,2020-07-12 21:56:24.772000,0.000000,2.452694e+01
1,2020-07-12 21:56:24.905000,0.133000,2.451097e+01
2,2020-07-12 21:56:25.039000,0.267000,2.453105e+01
3,2020-07-12 21:56:25.172000,0.400000,2.452963e+01
4,2020-07-12 21:56:25.305000,0.533000,2.452887e+01
5,2020-07-12 21:56:25.439000,0.667000,2.453816e+01
6,2020-07-12 21:56:25.572000,0.800000,2.455028e+01
7,2020-07-12 21:56:25.706000,0.934000,2.453866e+01
8,2020-07-12 21:56:25.839000,1.067000,2.452721e+01
9,2020-07-12 21:56:25.973000,1.201000,2.453288e+01
10,2020-07-12 21:56:26.107000,1.335000,2.452639e+01
11,2020-07-12 21:56:26.241000,1.469000,2.451732e+01
12,2020-07-12 21:56:26.375000,1.603000,2.451742e+01
13,2020-07-12 21:56:26.510000,1.738000,2.450384e+01
14,2020-07-12 21:56:26.644000,1.872000,2.451895e+01
15,2020-07-12 21:56:26.779000,2.007000,2.453080e+01
16,2020-07-12 21:56:27.047000,2.275000,2.451423e+01
17,2020-07-12 21:56:27.181000,2.409000,2.448244e+01
18,2020-07-12 21:56:27.316000,2.544000,2.451819e+01
19,2020-07-12 21:56:27.450000,2.678000,2.452386e+01
20,2020-07-12 21:56:27.584000,2.812000,2.451027e+01
21,2020-07-12 21:56:27.719000,2.947000,2.451043e+01
22,2020-07-12 21:56:27.853000,3.081000,2.451646e+01
23,2020-07-12 21:56:27.987000,3.215000,2.453842e+01
24,2020-07-12 21:56:28.121000,3.349000,2.456563e+01
25,2020-07-12 21:56:28.254000,3.482000,2.459979e+01
26,2020-07-12 21:56:28.387000,3.615000,2.460196e+01
27,2020-07-12 21:56:28.521000,3.749000,2.459811e+01
28,2020-07-12 21:56:28.654000,3.882000,2.460621e+01
29,2020-07-12 21:56:28.788000,4.016000,2.462784e+01
30,2020-07-12 21:56:28.921000,4.149000,2.460910e+01
31,2020-07-12 21:56:29.054000,4.282000,2.461316e+01
32,2020-07-12 21:56:29.321000,4.549000,2.459978e+01
33,2020-07-12 21:56:29.454000,4.682000,2.459228e+01
34,2020-07-12 21:56:29.588000,4.816000,2.457850e+01
35,2020-07-12 21:56:29.721000,4.949000,2.458468e+01
36,2020-07-12 21:56:29.854000,5.082000,2.457946e+01
37,2020-07-12 21:56:29.988000,5.216000,2.456339e+01
38,2020-07-12 21:56:30.121000,5.349000,2.456369e+01
39,2020-07-12 21:56:30.254000,5.482000,2.458772e+01
40,2020-07-12 21:56:30.387000,5.615000,2.457571e+01
