frame,abstime,reltime,Line 2 [C]
0,2020-07-12 22:06:59.637000,0.000000,2.494303e+01
1,2020-07-12 22:06:59.771000,0.134000,2.570650e+01
2,2020-07-12 22:06:59.904000,0.267000,2.569168e+01
3,2020-07-12 22:07:00.037000,0.400000,2.570336e+01
4,2020-07-12 22:07:00.170000,0.533000,2.571204e+01
5,2020-07-12 22:07:00.304000,0.667000,2.572395e+01
6,2020-07-12 22:07:00.437000,0.800000,2.571049e+01
7,2020-07-12 22:07:00.571000,0.934000,2.568031e+01
8,2020-07-12 22:07:00.704000,1.067000,2.569872e+01
9,2020-07-12 22:07:00.837000,1.200000,2.568140e+01
10,2020-07-12 22:07:00.970000,1.333000,2.491191e+01
11,2020-07-12 22:07:01.104000,1.467000,2.568785e+01
12,2020-07-12 22:07:01.237000,1.600000,2.568506e+01
13,2020-07-12 22:07:01.370000,1.733000,2.569039e+01
14,2020-07-12 22:07:01.637000,2.000000,2.564115e+01
15,2020-07-12 22:07:01.771000,2.134000,2.563841e+01
16,2020-07-12 22:07:01.904000,2.267000,2.563624e+01
17,2020-07-12 22:07:02.037000,2.400000,2.561358e+01
18,2020-07-12 22:07:02.170000,2.533000,2.563128e+01
19,2020-07-12 22:07:02.304000,2.667000,2.561469e+01
20,2020-07-12 22:07:02.437000,2.800000,2.488108e+01
21,2020-07-12 22:07:02.571000,2.934000,2.555973e+01
22,2020-07-12 22:07:02.704000,3.067000,2.551613e+01
23,2020-07-12 22:07:02.837000,3.200000,2.551819e+01
24,2020-07-12 22:07:02.970000,3.333000,2.551095e+01
25,2020-07-12 22:07:03.104000,3.467000,2.550275e+01
26,2020-07-12 22:07:03.237000,3.600000,2.551068e+01
27,2020-07-12 22:07:03.370000,3.733000,2.552150e+01
28,2020-07-12 22:07:03.503000,3.866000,2.552213e+01
29,2020-07-12 22:07:03.637000,4.000000,2.550085e+01
30,2020-07-12 22:07:03.771000,4.134000,2.471512e+01
31,2020-07-12 22:07:04.037000,4.400000,2.551128e+01
32,2020-07-12 22:07:04.170000,4.533000,2.553936e+01
33,2020-07-12 22:07:04.304000,4.667000,2.528411e+01
34,2020-07-12 22:07:04.437000,4.800000,2.532273e+01
35,2020-07-12 22:07:04.570000,4.933000,2.531928e+01
36,2020-07-12 22:07:04.703000,5.066000,2.535548e+01
37,2020-07-12 22:07:04.837000,5.200000,2.511530e+01
38,2020-07-12 22:07:04.970000,5.333000,2.513655e+01
39,2020-07-12 22:07:05.104000,5.467000,2.515584e+01
40,2020-07-12 22:07:05.237000,5.600000,2.492037e+01
41,2020-07-12 22:07:05.370000,5.733000,2.514374e+01
42,2020-07-12 22:07:05.503000,5.866000,2.513654e+01
