frame,abstime,reltime,Line 2 [C]
0,2020-07-12 22:44:42.339000,0.000000,2.483594e+01
1,2020-07-12 22:44:42.473000,0.134000,2.520465e+01
2,2020-07-12 22:44:42.606000,0.267000,2.518964e+01
3,2020-07-12 22:44:42.739000,0.400000,2.520974e+01
4,2020-07-12 22:44:42.872000,0.533000,2.519263e+01
5,2020-07-12 22:44:43.006000,0.667000,2.518582e+01
6,2020-07-12 22:44:43.139000,0.800000,2.519037e+01
7,2020-07-12 22:44:43.273000,0.934000,2.520494e+01
8,2020-07-12 22:44:43.406000,1.067000,2.520147e+01
9,2020-07-12 22:44:43.539000,1.200000,2.519989e+01
10,2020-07-12 22:44:43.673000,1.334000,2.481347e+01
11,2020-07-12 22:44:43.806000,1.467000,2.522344e+01
12,2020-07-12 22:44:43.939000,1.600000,2.522494e+01
13,2020-07-12 22:44:44.072000,1.733000,2.520923e+01
14,2020-07-12 22:44:44.206000,1.867000,2.520619e+01
15,2020-07-12 22:44:44.473000,2.134000,2.520588e+01
16,2020-07-12 22:44:44.606000,2.267000,2.521282e+01
17,2020-07-12 22:44:44.739000,2.400000,2.521577e+01
18,2020-07-12 22:44:44.872000,2.533000,2.522425e+01
19,2020-07-12 22:44:45.006000,2.667000,2.522396e+01
20,2020-07-12 22:44:45.139000,2.800000,2.479470e+01
21,2020-07-12 22:44:45.272000,2.933000,2.521393e+01
22,2020-07-12 22:44:45.406000,3.067000,2.521518e+01
23,2020-07-12 22:44:45.539000,3.200000,2.521403e+01
24,2020-07-12 22:44:45.673000,3.334000,2.522268e+01
25,2020-07-12 22:44:45.806000,3.467000,2.521742e+01
26,2020-07-12 22:44:45.939000,3.600000,2.520196e+01
27,2020-07-12 22:44:46.072000,3.733000,2.520460e+01
28,2020-07-12 22:44:46.206000,3.867000,2.520211e+01
29,2020-07-12 22:44:46.339000,4.000000,2.520351e+01
30,2020-07-12 22:44:46.473000,4.134000,2.475276e+01
31,2020-07-12 22:44:46.739000,4.400000,2.517897e+01
32,2020-07-12 22:44:46.872000,4.533000,2.517708e+01
33,2020-07-12 22:44:47.006000,4.667000,2.518913e+01
34,2020-07-12 22:44:47.139000,4.800000,2.518308e+01
35,2020-07-12 22:44:47.272000,4.933000,2.518258e+01
36,2020-07-12 22:44:47.406000,5.067000,2.520061e+01
37,2020-07-12 22:44:47.539000,5.200000,2.521562e+01
38,2020-07-12 22:44:47.673000,5.334000,2.523548e+01
39,2020-07-12 22:44:47.806000,5.467000,2.524171e+01
40,2020-07-12 22:44:47.939000,5.600000,2.475542e+01
