frame,abstime,reltime,Line 2 [C]
0,2020-07-13 03:43:57.591000,0.000000,2.492360e+01
1,2020-07-13 03:43:57.725000,0.134000,2.506423e+01
2,2020-07-13 03:43:57.858000,0.267000,2.507627e+01
3,2020-07-13 03:43:57.991000,0.400000,2.506960e+01
4,2020-07-13 03:43:58.124000,0.533000,2.506698e+01
5,2020-07-13 03:43:58.258000,0.667000,2.507378e+01
6,2020-07-13 03:43:58.391000,0.800000,2.504195e+01
7,2020-07-13 03:43:58.524000,0.933000,2.505172e+01
8,2020-07-13 03:43:58.657000,1.066000,2.507517e+01
9,2020-07-13 03:43:58.791000,1.200000,2.506384e+01
10,2020-07-13 03:43:58.924000,1.333000,2.492619e+01
11,2020-07-13 03:43:59.058000,1.467000,2.506204e+01
12,2020-07-13 03:43:59.191000,1.600000,2.505155e+01
13,2020-07-13 03:43:59.324000,1.733000,2.505106e+01
14,2020-07-13 03:43:59.458000,1.867000,2.505800e+01
15,2020-07-13 03:43:59.725000,2.134000,2.494778e+01
16,2020-07-13 03:43:59.858000,2.267000,2.491042e+01
17,2020-07-13 03:43:59.991000,2.400000,2.490673e+01
18,2020-07-13 03:44:00.124000,2.533000,2.488739e+01
19,2020-07-13 03:44:00.258000,2.667000,2.489861e+01
20,2020-07-13 03:44:00.391000,2.800000,2.473910e+01
21,2020-07-13 03:44:00.524000,2.933000,2.491688e+01
22,2020-07-13 03:44:00.657000,3.066000,2.490918e+01
23,2020-07-13 03:44:00.791000,3.200000,2.494458e+01
24,2020-07-13 03:44:00.924000,3.333000,2.496144e+01
25,2020-07-13 03:44:01.058000,3.467000,2.498266e+01
26,2020-07-13 03:44:01.191000,3.600000,2.496925e+01
27,2020-07-13 03:44:01.324000,3.733000,2.497606e+01
28,2020-07-13 03:44:01.458000,3.867000,2.496740e+01
29,2020-07-13 03:44:01.591000,4.000000,2.496900e+01
30,2020-07-13 03:44:01.725000,4.134000,2.480082e+01
31,2020-07-13 03:44:01.991000,4.400000,2.496652e+01
32,2020-07-13 03:44:02.124000,4.533000,2.495618e+01
33,2020-07-13 03:44:02.258000,4.667000,2.496840e+01
34,2020-07-13 03:44:02.391000,4.800000,2.496806e+01
