frame,abstime,reltime,Line 2 [C]
0,2020-07-12 23:09:12.668000,0.000000,2.509430e+01
1,2020-07-12 23:09:12.802000,0.134000,2.508747e+01
2,2020-07-12 23:09:12.935000,0.267000,2.508442e+01
3,2020-07-12 23:09:13.068000,0.400000,2.508360e+01
4,2020-07-12 23:09:13.201000,0.533000,2.510197e+01
5,2020-07-12 23:09:13.335000,0.667000,2.509698e+01
6,2020-07-12 23:09:13.468000,0.800000,2.510940e+01
7,2020-07-12 23:09:13.601000,0.933000,2.510698e+01
8,2020-07-12 23:09:13.735000,1.067000,2.512921e+01
9,2020-07-12 23:09:13.868000,1.200000,2.512239e+01
10,2020-07-12 23:09:14.002000,1.334000,2.508895e+01
11,2020-07-12 23:09:14.135000,1.467000,2.509081e+01
12,2020-07-12 23:09:14.268000,1.600000,2.508835e+01
13,2020-07-12 23:09:14.401000,1.733000,2.508841e+01
14,2020-07-12 23:09:14.535000,1.867000,2.510529e+01
15,2020-07-12 23:09:14.802000,2.134000,2.510743e+01
16,2020-07-12 23:09:14.935000,2.267000,2.511829e+01
17,2020-07-12 23:09:15.068000,2.400000,2.511754e+01
18,2020-07-12 23:09:15.201000,2.533000,2.511098e+01
19,2020-07-12 23:09:15.335000,2.667000,2.512375e+01
20,2020-07-12 23:09:15.468000,2.800000,2.510497e+01
21,2020-07-12 23:09:15.601000,2.933000,2.510027e+01
22,2020-07-12 23:09:15.735000,3.067000,2.508934e+01
23,2020-07-12 23:09:15.868000,3.200000,2.509355e+01
24,2020-07-12 23:09:16.002000,3.334000,2.509359e+01
25,2020-07-12 23:09:16.135000,3.467000,2.508274e+01
26,2020-07-12 23:09:16.268000,3.600000,2.508743e+01
27,2020-07-12 23:09:16.401000,3.733000,2.510760e+01
28,2020-07-12 23:09:16.535000,3.867000,2.510815e+01
29,2020-07-12 23:09:16.668000,4.000000,2.511306e+01
30,2020-07-12 23:09:16.802000,4.134000,2.511235e+01
31,2020-07-12 23:09:17.068000,4.400000,2.508923e+01
32,2020-07-12 23:09:17.201000,4.533000,2.510650e+01
33,2020-07-12 23:09:17.335000,4.667000,2.509563e+01
34,2020-07-12 23:09:17.468000,4.800000,2.511322e+01
35,2020-07-12 23:09:17.601000,4.933000,2.511791e+01
36,2020-07-12 23:09:17.735000,5.067000,2.511147e+01
37,2020-07-12 23:09:17.868000,5.200000,2.514352e+01
38,2020-07-12 23:09:18.002000,5.334000,2.514271e+01
39,2020-07-12 23:09:18.135000,5.467000,2.512289e+01
40,2020-07-12 23:09:18.268000,5.600000,2.512555e+01
41,2020-07-12 23:09:18.401000,5.733000,2.513648e+01
42,2020-07-12 23:09:18.535000,5.867000,2.514429e+01
43,2020-07-12 23:09:18.668000,6.000000,2.512545e+01
44,2020-07-12 23:09:18.801000,6.133000,2.513671e+01
45,2020-07-12 23:09:19.068000,6.400000,2.513357e+01
46,2020-07-12 23:09:19.201000,6.533000,2.512538e+01
47,2020-07-12 23:09:19.335000,6.667000,2.511189e+01
48,2020-07-12 23:09:19.468000,6.800000,2.510540e+01
49,2020-07-12 23:09:19.601000,6.933000,2.505114e+01
50,2020-07-12 23:09:19.734000,7.066000,2.504369e+01
51,2020-07-12 23:09:19.867000,7.199000,2.504724e+01
52,2020-07-12 23:09:20.001000,7.333000,2.504982e+01
53,2020-07-12 23:09:20.134000,7.466000,2.507917e+01
54,2020-07-12 23:09:20.267000,7.599000,2.505891e+01
55,2020-07-12 23:09:20.400000,7.732000,2.504585e+01
56,2020-07-12 23:09:20.534000,7.866000,2.504452e+01
57,2020-07-12 23:09:20.667000,7.999000,2.504311e+01
58,2020-07-12 23:09:20.800000,8.132000,2.504156e+01
59,2020-07-12 23:09:20.933000,8.265000,2.503986e+01
60,2020-07-12 23:09:21.067000,8.399000,2.504179e+01
61,2020-07-12 23:09:21.333000,8.665000,2.504786e+01
62,2020-07-12 23:09:21.466000,8.798000,2.503387e+01
63,2020-07-12 23:09:21.600000,8.932000,2.504742e+01
64,2020-07-12 23:09:21.733000,9.065000,2.507842e+01
65,2020-07-12 23:09:21.867000,9.199000,2.507491e+01
66,2020-07-12 23:09:22.000000,9.332000,2.506277e+01
67,2020-07-12 23:09:22.133000,9.465000,2.506857e+01
68,2020-07-12 23:09:22.267000,9.599000,2.507779e+01
69,2020-07-12 23:09:22.400000,9.732000,2.508012e+01
70,2020-07-12 23:09:22.534000,9.866000,2.509576e+01
71,2020-07-12 23:09:22.667000,9.999000,2.509776e+01
72,2020-07-12 23:09:22.800000,10.132000,2.514326e+01
73,2020-07-12 23:09:22.933000,10.265000,2.515101e+01
74,2020-07-12 23:09:23.067000,10.399000,2.515949e+01
75,2020-07-12 23:09:23.200000,10.532000,2.517255e+01
76,2020-07-12 23:09:23.333000,10.665000,2.518504e+01
77,2020-07-12 23:09:23.600000,10.932000,2.527178e+01
78,2020-07-12 23:09:23.733000,11.065000,2.531282e+01
79,2020-07-12 23:09:23.867000,11.199000,2.533720e+01
80,2020-07-12 23:09:24.000000,11.332000,2.536843e+01
81,2020-07-12 23:09:24.133000,11.465000,2.540411e+01
82,2020-07-12 23:09:24.267000,11.599000,2.544126e+01
83,2020-07-12 23:09:24.400000,11.732000,2.545203e+01
84,2020-07-12 23:09:24.534000,11.866000,2.548386e+01
85,2020-07-12 23:09:24.667000,11.999000,2.550804e+01
86,2020-07-12 23:09:24.800000,12.132000,2.552632e+01
