frame,abstime,reltime,Line 2 [C]
0,2020-07-12 22:57:36.750000,0.000000,2.483253e+01
1,2020-07-12 22:57:36.884000,0.134000,2.481817e+01
2,2020-07-12 22:57:37.017000,0.267000,2.478383e+01
3,2020-07-12 22:57:37.150000,0.400000,2.477571e+01
4,2020-07-12 22:57:37.283000,0.533000,2.478836e+01
5,2020-07-12 22:57:37.417000,0.667000,2.477368e+01
6,2020-07-12 22:57:37.550000,0.800000,2.479840e+01
7,2020-07-12 22:57:37.683000,0.933000,2.478897e+01
8,2020-07-12 22:57:37.816000,1.066000,2.477802e+01
9,2020-07-12 22:57:37.950000,1.200000,2.476163e+01
10,2020-07-12 22:57:38.083000,1.333000,2.478003e+01
11,2020-07-12 22:57:38.217000,1.467000,2.479231e+01
12,2020-07-12 22:57:38.350000,1.600000,2.477137e+01
13,2020-07-12 22:57:38.483000,1.733000,2.476212e+01
14,2020-07-12 22:57:38.617000,1.867000,2.476847e+01
15,2020-07-12 22:57:38.884000,2.134000,2.476113e+01
16,2020-07-12 22:57:39.017000,2.267000,2.475877e+01
17,2020-07-12 22:57:39.150000,2.400000,2.475133e+01
18,2020-07-12 22:57:39.283000,2.533000,2.476668e+01
19,2020-07-12 22:57:39.417000,2.667000,2.474739e+01
20,2020-07-12 22:57:39.550000,2.800000,2.472173e+01
21,2020-07-12 22:57:39.683000,2.933000,2.475658e+01
22,2020-07-12 22:57:39.816000,3.066000,2.474124e+01
23,2020-07-12 22:57:39.950000,3.200000,2.472430e+01
24,2020-07-12 22:57:40.083000,3.333000,2.473697e+01
25,2020-07-12 22:57:40.217000,3.467000,2.471931e+01
26,2020-07-12 22:57:40.350000,3.600000,2.472567e+01
27,2020-07-12 22:57:40.483000,3.733000,2.474448e+01
28,2020-07-12 22:57:40.617000,3.867000,2.472584e+01
29,2020-07-12 22:57:40.750000,4.000000,2.472282e+01
30,2020-07-12 22:57:40.884000,4.134000,2.470347e+01
31,2020-07-12 22:57:41.150000,4.400000,2.469995e+01
32,2020-07-12 22:57:41.283000,4.533000,2.471707e+01
33,2020-07-12 22:57:41.417000,4.667000,2.471054e+01
34,2020-07-12 22:57:41.550000,4.800000,2.469064e+01
35,2020-07-12 22:57:41.683000,4.933000,2.470440e+01
36,2020-07-12 22:57:41.816000,5.066000,2.469821e+01
37,2020-07-12 22:57:41.950000,5.200000,2.467198e+01
38,2020-07-12 22:57:42.083000,5.333000,2.467897e+01
39,2020-07-12 22:57:42.216000,5.466000,2.468751e+01
40,2020-07-12 22:57:42.350000,5.600000,2.467878e+01
41,2020-07-12 22:57:42.483000,5.733000,2.473833e+01
42,2020-07-12 22:57:42.617000,5.867000,2.477313e+01
43,2020-07-12 22:57:42.750000,6.000000,2.478743e+01
44,2020-07-12 22:57:42.883000,6.133000,2.478897e+01
45,2020-07-12 22:57:43.016000,6.266000,2.477587e+01
46,2020-07-12 22:57:43.283000,6.533000,2.477116e+01
47,2020-07-12 22:57:43.417000,6.667000,2.478645e+01
48,2020-07-12 22:57:43.550000,6.800000,2.477426e+01
49,2020-07-12 22:57:43.683000,6.933000,2.476776e+01
50,2020-07-12 22:57:43.816000,7.066000,2.478316e+01
51,2020-07-12 22:57:43.950000,7.200000,2.477216e+01
52,2020-07-12 22:57:44.083000,7.333000,2.476546e+01
53,2020-07-12 22:57:44.216000,7.466000,2.476951e+01
54,2020-07-12 22:57:44.350000,7.600000,2.477993e+01
55,2020-07-12 22:57:44.483000,7.733000,2.476354e+01
56,2020-07-12 22:57:44.617000,7.867000,2.475328e+01
57,2020-07-12 22:57:44.750000,8.000000,2.475543e+01
58,2020-07-12 22:57:44.883000,8.133000,2.476846e+01
59,2020-07-12 22:57:45.016000,8.266000,2.475220e+01
60,2020-07-12 22:57:45.150000,8.400000,2.474431e+01
61,2020-07-12 22:57:45.417000,8.667000,2.474556e+01
62,2020-07-12 22:57:45.550000,8.800000,2.474823e+01
63,2020-07-12 22:57:45.683000,8.933000,2.475021e+01
64,2020-07-12 22:57:45.816000,9.066000,2.475186e+01
65,2020-07-12 22:57:45.950000,9.200000,2.475451e+01
66,2020-07-12 22:57:46.083000,9.333000,2.477516e+01
67,2020-07-12 22:57:46.216000,9.466000,2.476874e+01
68,2020-07-12 22:57:46.349000,9.599000,2.477290e+01
