frame,abstime,reltime,Line 2 [C]
0,2020-07-13 01:47:29.512000,0.000000,2.530118e+01
1,2020-07-13 01:47:29.645000,0.133000,2.529512e+01
2,2020-07-13 01:47:29.779000,0.267000,2.528090e+01
3,2020-07-13 01:47:29.912000,0.400000,2.529531e+01
4,2020-07-13 01:47:30.045000,0.533000,2.530072e+01
5,2020-07-13 01:47:30.178000,0.666000,2.527912e+01
6,2020-07-13 01:47:30.312000,0.800000,2.526900e+01
7,2020-07-13 01:47:30.445000,0.933000,2.527030e+01
8,2020-07-13 01:47:30.578000,1.066000,2.525886e+01
9,2020-07-13 01:47:30.711000,1.199000,2.525134e+01
10,2020-07-13 01:47:30.845000,1.333000,2.525619e+01
11,2020-07-13 01:47:30.978000,1.466000,2.524374e+01
12,2020-07-13 01:47:31.111000,1.599000,2.523970e+01
13,2020-07-13 01:47:31.244000,1.732000,2.524444e+01
14,2020-07-13 01:47:31.511000,1.999000,2.524277e+01
15,2020-07-13 01:47:31.644000,2.132000,2.525021e+01
16,2020-07-13 01:47:31.778000,2.266000,2.525788e+01
17,2020-07-13 01:47:31.911000,2.399000,2.524961e+01
18,2020-07-13 01:47:32.044000,2.532000,2.524127e+01
19,2020-07-13 01:47:32.177000,2.665000,2.521943e+01
20,2020-07-13 01:47:32.311000,2.799000,2.523449e+01
21,2020-07-13 01:47:32.444000,2.932000,2.522219e+01
22,2020-07-13 01:47:32.577000,3.065000,2.523960e+01
23,2020-07-13 01:47:32.710000,3.198000,2.525784e+01
24,2020-07-13 01:47:32.844000,3.332000,2.523419e+01
25,2020-07-13 01:47:32.977000,3.465000,2.523863e+01
26,2020-07-13 01:47:33.111000,3.599000,2.523088e+01
27,2020-07-13 01:47:33.244000,3.732000,2.522484e+01
28,2020-07-13 01:47:33.377000,3.865000,2.522025e+01
29,2020-07-13 01:47:33.511000,3.999000,2.519345e+01
30,2020-07-13 01:47:33.777000,4.265000,2.517496e+01
