frame,abstime,reltime,Line 2 [C]
0,2020-07-13 01:59:43.538000,0.000000,2.510597e+01
1,2020-07-13 01:59:43.672000,0.134000,2.509878e+01
2,2020-07-13 01:59:43.805000,0.267000,2.509775e+01
3,2020-07-13 01:59:43.938000,0.400000,2.508413e+01
4,2020-07-13 01:59:44.071000,0.533000,2.510039e+01
5,2020-07-13 01:59:44.204000,0.666000,2.508728e+01
6,2020-07-13 01:59:44.338000,0.800000,2.507460e+01
7,2020-07-13 01:59:44.471000,0.933000,2.507981e+01
8,2020-07-13 01:59:44.604000,1.066000,2.509379e+01
9,2020-07-13 01:59:44.737000,1.199000,2.509714e+01
10,2020-07-13 01:59:44.871000,1.333000,2.507590e+01
11,2020-07-13 01:59:45.004000,1.466000,2.508500e+01
12,2020-07-13 01:59:45.138000,1.600000,2.506398e+01
13,2020-07-13 01:59:45.270000,1.732000,2.506052e+01
14,2020-07-13 01:59:45.404000,1.866000,2.506841e+01
15,2020-07-13 01:59:45.671000,2.133000,2.497790e+01
16,2020-07-13 01:59:45.804000,2.266000,2.495298e+01
17,2020-07-13 01:59:45.937000,2.399000,2.494415e+01
18,2020-07-13 01:59:46.071000,2.533000,2.494813e+01
19,2020-07-13 01:59:46.204000,2.666000,2.494453e+01
20,2020-07-13 01:59:46.338000,2.800000,2.494096e+01
21,2020-07-13 01:59:46.471000,2.933000,2.493803e+01
22,2020-07-13 01:59:46.604000,3.066000,2.500216e+01
23,2020-07-13 01:59:46.737000,3.199000,2.503897e+01
24,2020-07-13 01:59:46.871000,3.333000,2.504543e+01
25,2020-07-13 01:59:47.004000,3.466000,2.505569e+01
26,2020-07-13 01:59:47.137000,3.599000,2.505545e+01
27,2020-07-13 01:59:47.270000,3.732000,2.505130e+01
28,2020-07-13 01:59:47.404000,3.866000,2.506628e+01
29,2020-07-13 01:59:47.537000,3.999000,2.506769e+01
30,2020-07-13 01:59:47.671000,4.133000,2.506846e+01
31,2020-07-13 01:59:47.937000,4.399000,2.507009e+01
32,2020-07-13 01:59:48.071000,4.533000,2.505786e+01
33,2020-07-13 01:59:48.204000,4.666000,2.506775e+01
34,2020-07-13 01:59:48.338000,4.800000,2.506693e+01
35,2020-07-13 01:59:48.471000,4.933000,2.507321e+01
36,2020-07-13 01:59:48.604000,5.066000,2.505950e+01
37,2020-07-13 01:59:48.737000,5.199000,2.506734e+01
38,2020-07-13 01:59:48.871000,5.333000,2.508471e+01
39,2020-07-13 01:59:49.004000,5.466000,2.511723e+01
40,2020-07-13 01:59:49.137000,5.599000,2.510485e+01
41,2020-07-13 01:59:49.270000,5.732000,2.510726e+01
42,2020-07-13 01:59:49.404000,5.866000,2.510946e+01
43,2020-07-13 01:59:49.537000,5.999000,2.512463e+01
44,2020-07-13 01:59:49.671000,6.133000,2.509994e+01
45,2020-07-13 01:59:49.804000,6.266000,2.509528e+01
46,2020-07-13 01:59:50.071000,6.533000,2.509331e+01
47,2020-07-13 01:59:50.204000,6.666000,2.509634e+01
48,2020-07-13 01:59:50.338000,6.800000,2.510097e+01
49,2020-07-13 01:59:50.471000,6.933000,2.507768e+01
50,2020-07-13 01:59:50.604000,7.066000,2.506414e+01
51,2020-07-13 01:59:50.737000,7.199000,2.506429e+01
52,2020-07-13 01:59:50.871000,7.333000,2.506774e+01
53,2020-07-13 01:59:51.004000,7.466000,2.506707e+01
54,2020-07-13 01:59:51.137000,7.599000,2.506448e+01
55,2020-07-13 01:59:51.270000,7.732000,2.509149e+01
56,2020-07-13 01:59:51.404000,7.866000,2.506505e+01
