frame,abstime,reltime,Line 2 [C]
0,2020-07-13 01:59:43.538000,0.000000,2.502475e+01
1,2020-07-13 01:59:43.672000,0.134000,2.510480e+01
2,2020-07-13 01:59:43.805000,0.267000,2.510338e+01
3,2020-07-13 01:59:43.938000,0.400000,2.509050e+01
4,2020-07-13 01:59:44.071000,0.533000,2.509393e+01
5,2020-07-13 01:59:44.204000,0.666000,2.510186e+01
6,2020-07-13 01:59:44.338000,0.800000,2.509565e+01
7,2020-07-13 01:59:44.471000,0.933000,2.509987e+01
8,2020-07-13 01:59:44.604000,1.066000,2.510499e+01
9,2020-07-13 01:59:44.737000,1.199000,2.510718e+01
10,2020-07-13 01:59:44.871000,1.333000,2.499576e+01
11,2020-07-13 01:59:45.004000,1.466000,2.508293e+01
12,2020-07-13 01:59:45.138000,1.600000,2.507709e+01
13,2020-07-13 01:59:45.270000,1.732000,2.506684e+01
14,2020-07-13 01:59:45.404000,1.866000,2.507974e+01
15,2020-07-13 01:59:45.671000,2.133000,2.499932e+01
16,2020-07-13 01:59:45.804000,2.266000,2.497322e+01
17,2020-07-13 01:59:45.937000,2.399000,2.496151e+01
18,2020-07-13 01:59:46.071000,2.533000,2.497811e+01
19,2020-07-13 01:59:46.204000,2.666000,2.496675e+01
20,2020-07-13 01:59:46.338000,2.800000,2.484791e+01
21,2020-07-13 01:59:46.471000,2.933000,2.494796e+01
22,2020-07-13 01:59:46.604000,3.066000,2.499411e+01
23,2020-07-13 01:59:46.737000,3.199000,2.504288e+01
24,2020-07-13 01:59:46.871000,3.333000,2.505274e+01
25,2020-07-13 01:59:47.004000,3.466000,2.505488e+01
26,2020-07-13 01:59:47.137000,3.599000,2.506236e+01
27,2020-07-13 01:59:47.270000,3.732000,2.506399e+01
28,2020-07-13 01:59:47.404000,3.866000,2.506407e+01
29,2020-07-13 01:59:47.537000,3.999000,2.506301e+01
30,2020-07-13 01:59:47.671000,4.133000,2.498307e+01
31,2020-07-13 01:59:47.937000,4.399000,2.508116e+01
32,2020-07-13 01:59:48.071000,4.533000,2.506770e+01
33,2020-07-13 01:59:48.204000,4.666000,2.507930e+01
34,2020-07-13 01:59:48.338000,4.800000,2.508617e+01
35,2020-07-13 01:59:48.471000,4.933000,2.508015e+01
36,2020-07-13 01:59:48.604000,5.066000,2.498412e+01
37,2020-07-13 01:59:48.737000,5.199000,2.501311e+01
38,2020-07-13 01:59:48.871000,5.333000,2.501982e+01
39,2020-07-13 01:59:49.004000,5.466000,2.504470e+01
40,2020-07-13 01:59:49.137000,5.599000,2.502438e+01
41,2020-07-13 01:59:49.270000,5.732000,2.504266e+01
42,2020-07-13 01:59:49.404000,5.866000,2.502309e+01
43,2020-07-13 01:59:49.537000,5.999000,2.501207e+01
44,2020-07-13 01:59:49.671000,6.133000,2.500885e+01
45,2020-07-13 01:59:49.804000,6.266000,2.499628e+01
46,2020-07-13 01:59:50.071000,6.533000,2.502850e+01
47,2020-07-13 01:59:50.204000,6.666000,2.500881e+01
48,2020-07-13 01:59:50.338000,6.800000,2.501737e+01
49,2020-07-13 01:59:50.471000,6.933000,2.501586e+01
50,2020-07-13 01:59:50.604000,7.066000,2.498903e+01
51,2020-07-13 01:59:50.737000,7.199000,2.497822e+01
52,2020-07-13 01:59:50.871000,7.333000,2.500136e+01
53,2020-07-13 01:59:51.004000,7.466000,2.499794e+01
54,2020-07-13 01:59:51.137000,7.599000,2.500022e+01
55,2020-07-13 01:59:51.270000,7.732000,2.501813e+01
56,2020-07-13 01:59:51.404000,7.866000,2.500019e+01
57,2020-07-13 01:59:51.537000,7.999000,2.501115e+01
58,2020-07-13 01:59:51.671000,8.133000,2.498404e+01
59,2020-07-13 01:59:51.804000,8.266000,2.497846e+01
60,2020-07-13 01:59:51.937000,8.399000,2.497627e+01
61,2020-07-13 01:59:52.071000,8.533000,2.502030e+01
62,2020-07-13 01:59:52.337000,8.799000,2.503109e+01
63,2020-07-13 01:59:52.470000,8.932000,2.502236e+01
64,2020-07-13 01:59:52.604000,9.066000,2.503037e+01
65,2020-07-13 01:59:52.737000,9.199000,2.503127e+01
66,2020-07-13 01:59:52.871000,9.333000,2.502153e+01
67,2020-07-13 01:59:53.004000,9.466000,2.503052e+01
68,2020-07-13 01:59:53.137000,9.599000,2.501800e+01
69,2020-07-13 01:59:53.270000,9.732000,2.498194e+01
70,2020-07-13 01:59:53.404000,9.866000,2.494281e+01
71,2020-07-13 01:59:53.537000,9.999000,2.495672e+01
72,2020-07-13 01:59:53.670000,10.132000,2.493779e+01
73,2020-07-13 01:59:53.803000,10.265000,2.493232e+01
74,2020-07-13 01:59:53.937000,10.399000,2.491730e+01
75,2020-07-13 01:59:54.071000,10.533000,2.492322e+01
76,2020-07-13 01:59:54.204000,10.666000,2.492855e+01
77,2020-07-13 01:59:54.337000,10.799000,2.492501e+01
78,2020-07-13 01:59:54.604000,11.066000,2.491708e+01
79,2020-07-13 01:59:54.737000,11.199000,2.493543e+01
80,2020-07-13 01:59:54.871000,11.333000,2.492587e+01
81,2020-07-13 01:59:55.004000,11.466000,2.492724e+01
82,2020-07-13 01:59:55.137000,11.599000,2.493226e+01
83,2020-07-13 01:59:55.270000,11.732000,2.495882e+01
84,2020-07-13 01:59:55.404000,11.866000,2.490014e+01
85,2020-07-13 01:59:55.537000,11.999000,2.483858e+01
86,2020-07-13 01:59:55.670000,12.132000,2.481840e+01
87,2020-07-13 01:59:55.803000,12.265000,2.482687e+01
88,2020-07-13 01:59:55.937000,12.399000,2.484814e+01
89,2020-07-13 01:59:56.071000,12.533000,2.484568e+01
90,2020-07-13 01:59:56.204000,12.666000,2.483414e+01
91,2020-07-13 01:59:56.337000,12.799000,2.485319e+01
92,2020-07-13 01:59:56.604000,13.066000,2.485184e+01
93,2020-07-13 01:59:56.737000,13.199000,2.486234e+01
94,2020-07-13 01:59:56.871000,13.333000,2.486900e+01
95,2020-07-13 01:59:57.004000,13.466000,2.484116e+01
96,2020-07-13 01:59:57.137000,13.599000,2.482892e+01
97,2020-07-13 01:59:57.270000,13.732000,2.484101e+01
98,2020-07-13 01:59:57.404000,13.866000,2.484122e+01
99,2020-07-13 01:59:57.537000,13.999000,2.486029e+01
100,2020-07-13 01:59:57.670000,14.132000,2.485073e+01
101,2020-07-13 01:59:57.803000,14.265000,2.485932e+01
102,2020-07-13 01:59:57.937000,14.399000,2.487134e+01
103,2020-07-13 01:59:58.070000,14.532000,2.486571e+01
104,2020-07-13 01:59:58.203000,14.665000,2.485553e+01
105,2020-07-13 01:59:58.336000,14.798000,2.485836e+01
106,2020-07-13 01:59:58.469000,14.931000,2.485460e+01
110,2020-07-13 01:59:59.136000,15.598000,2.507677e+01
116,2020-07-13 01:59:59.936000,16.398000,2.525099e+01
120,2020-07-13 02:00:00.469000,16.931000,2.620941e+01
126,2020-07-13 02:00:01.402000,17.864000,2.665863e+01
130,2020-07-13 02:00:01.936000,18.398000,2.685004e+01
136,2020-07-13 02:00:02.736000,19.198000,2.711281e+01
140,2020-07-13 02:00:03.402000,19.864000,2.743926e+01
146,2020-07-13 02:00:04.202000,20.664000,2.773660e+01
150,2020-07-13 02:00:04.736000,21.198000,2.790017e+01
156,2020-07-13 02:00:05.669000,22.131000,2.822965e+01
160,2020-07-13 02:00:06.202000,22.664000,2.836183e+01
166,2020-07-13 02:00:07.002000,23.464000,2.847906e+01
170,2020-07-13 02:00:07.669000,24.131000,3.048334e+01
176,2020-07-13 02:00:08.469000,24.931000,3.419580e+01
180,2020-07-13 02:00:09.002000,25.464000,3.695691e+01
186,2020-07-13 02:00:09.935000,26.397000,4.220386e+01
190,2020-07-13 02:00:10.469000,26.931000,4.527027e+01
196,2020-07-13 02:00:11.268000,27.730000,4.946631e+01
200,2020-07-13 02:00:11.935000,28.397000,5.274419e+01
206,2020-07-13 02:00:12.734000,29.196000,5.683834e+01
210,2020-07-13 02:00:13.267000,29.729000,5.925071e+01
216,2020-07-13 02:00:14.201000,30.663000,6.311161e+01
220,2020-07-13 02:00:14.734000,31.196000,4.987041e+01
226,2020-07-13 02:00:15.534000,31.996000,5.497182e+01
230,2020-07-13 02:00:16.201000,32.663000,6.002953e+01
236,2020-07-13 02:00:17.001000,33.463000,5.652549e+01
240,2020-07-13 02:00:17.534000,33.996000,5.797533e+01
246,2020-07-13 02:00:18.467000,34.929000,7.565101e+01
250,2020-07-13 02:00:19.001000,35.463000,7.650966e+01
256,2020-07-13 02:00:19.800000,36.262000,7.749832e+01
260,2020-07-13 02:00:20.334000,36.796000,7.876357e+01
266,2020-07-13 02:00:21.267000,37.729000,7.997865e+01
270,2020-07-13 02:00:21.800000,38.262000,8.069451e+01
276,2020-07-13 02:00:22.601000,39.063000,8.150389e+01
280,2020-07-13 02:00:23.267000,39.729000,8.209232e+01
286,2020-07-13 02:00:24.067000,40.529000,8.284303e+01
290,2020-07-13 02:00:24.600000,41.062000,8.323720e+01
296,2020-07-13 02:00:25.532000,41.994000,8.390495e+01
