frame,abstime,reltime,Line 2 [C]
0,2020-07-13 00:02:39.320000,0.000000,2.520644e+01
1,2020-07-13 00:02:39.454000,0.134000,2.570963e+01
2,2020-07-13 00:02:39.587000,0.267000,2.571921e+01
3,2020-07-13 00:02:39.720000,0.400000,2.571435e+01
4,2020-07-13 00:02:39.853000,0.533000,2.570276e+01
5,2020-07-13 00:02:39.987000,0.667000,2.569775e+01
6,2020-07-13 00:02:40.120000,0.800000,2.570452e+01
7,2020-07-13 00:02:40.253000,0.933000,2.569589e+01
8,2020-07-13 00:02:40.386000,1.066000,2.568728e+01
9,2020-07-13 00:02:40.520000,1.200000,2.567027e+01
10,2020-07-13 00:02:40.653000,1.333000,2.517175e+01
11,2020-07-13 00:02:40.787000,1.467000,2.569399e+01
12,2020-07-13 00:02:40.920000,1.600000,2.570242e+01
13,2020-07-13 00:02:41.053000,1.733000,2.570327e+01
14,2020-07-13 00:02:41.187000,1.867000,2.570016e+01
15,2020-07-13 00:02:41.454000,2.134000,2.568747e+01
16,2020-07-13 00:02:41.587000,2.267000,2.570206e+01
17,2020-07-13 00:02:41.720000,2.400000,2.569755e+01
18,2020-07-13 00:02:41.853000,2.533000,2.568009e+01
19,2020-07-13 00:02:41.987000,2.667000,2.566309e+01
20,2020-07-13 00:02:42.120000,2.800000,2.509114e+01
21,2020-07-13 00:02:42.253000,2.933000,2.566003e+01
22,2020-07-13 00:02:42.386000,3.066000,2.567007e+01
23,2020-07-13 00:02:42.520000,3.200000,2.569038e+01
24,2020-07-13 00:02:42.653000,3.333000,2.568291e+01
25,2020-07-13 00:02:42.787000,3.467000,2.569254e+01
26,2020-07-13 00:02:42.920000,3.600000,2.567524e+01
27,2020-07-13 00:02:43.053000,3.733000,2.565381e+01
28,2020-07-13 00:02:43.187000,3.867000,2.566364e+01
29,2020-07-13 00:02:43.320000,4.000000,2.564383e+01
30,2020-07-13 00:02:43.453000,4.133000,2.508117e+01
31,2020-07-13 00:02:43.720000,4.400000,2.566630e+01
32,2020-07-13 00:02:43.853000,4.533000,2.568506e+01
33,2020-07-13 00:02:43.987000,4.667000,2.566595e+01
34,2020-07-13 00:02:44.120000,4.800000,2.566505e+01
35,2020-07-13 00:02:44.253000,4.933000,2.566821e+01
36,2020-07-13 00:02:44.386000,5.066000,2.568184e+01
37,2020-07-13 00:02:44.520000,5.200000,2.565838e+01
38,2020-07-13 00:02:44.653000,5.333000,2.565307e+01
39,2020-07-13 00:02:44.786000,5.466000,2.564263e+01
40,2020-07-13 00:02:44.920000,5.600000,2.496087e+01
41,2020-07-13 00:02:45.053000,5.733000,2.565477e+01
42,2020-07-13 00:02:45.187000,5.867000,2.564303e+01
43,2020-07-13 00:02:45.320000,6.000000,2.564820e+01
44,2020-07-13 00:02:45.453000,6.133000,2.562587e+01
45,2020-07-13 00:02:45.720000,6.400000,2.563189e+01
46,2020-07-13 00:02:45.853000,6.533000,2.563189e+01
47,2020-07-13 00:02:45.987000,6.667000,2.562883e+01
48,2020-07-13 00:02:46.120000,6.800000,2.564354e+01
49,2020-07-13 00:02:46.253000,6.933000,2.564328e+01
50,2020-07-13 00:02:46.386000,7.066000,2.493062e+01
51,2020-07-13 00:02:46.520000,7.200000,2.562251e+01
52,2020-07-13 00:02:46.653000,7.333000,2.562447e+01
53,2020-07-13 00:02:46.786000,7.466000,2.560880e+01
54,2020-07-13 00:02:46.920000,7.600000,2.557472e+01
55,2020-07-13 00:02:47.053000,7.733000,2.556207e+01
56,2020-07-13 00:02:47.187000,7.867000,2.556338e+01
57,2020-07-13 00:02:47.320000,8.000000,2.555585e+01
58,2020-07-13 00:02:47.453000,8.133000,2.555288e+01
59,2020-07-13 00:02:47.586000,8.266000,2.557336e+01
60,2020-07-13 00:02:47.720000,8.400000,2.484608e+01
61,2020-07-13 00:02:47.986000,8.666000,2.556191e+01
62,2020-07-13 00:02:48.119000,8.799000,2.556673e+01
63,2020-07-13 00:02:48.253000,8.933000,2.555664e+01
64,2020-07-13 00:02:48.386000,9.066000,2.555193e+01
65,2020-07-13 00:02:48.520000,9.200000,2.554931e+01
66,2020-07-13 00:02:48.653000,9.333000,2.555393e+01
67,2020-07-13 00:02:48.786000,9.466000,2.555333e+01
68,2020-07-13 00:02:48.920000,9.600000,2.558286e+01
69,2020-07-13 00:02:49.053000,9.733000,2.562868e+01
70,2020-07-13 00:02:49.187000,9.867000,2.491667e+01
71,2020-07-13 00:02:49.320000,10.000000,2.561608e+01
72,2020-07-13 00:02:49.453000,10.133000,2.561317e+01
73,2020-07-13 00:02:49.586000,10.266000,2.563540e+01
74,2020-07-13 00:02:49.720000,10.400000,2.563515e+01
75,2020-07-13 00:02:49.853000,10.533000,2.561392e+01
76,2020-07-13 00:02:49.986000,10.666000,2.564438e+01
77,2020-07-13 00:02:50.253000,10.933000,2.561594e+01
78,2020-07-13 00:02:50.386000,11.066000,2.562296e+01
79,2020-07-13 00:02:50.520000,11.200000,2.564428e+01
80,2020-07-13 00:02:50.653000,11.333000,2.493717e+01
81,2020-07-13 00:02:50.786000,11.466000,2.562085e+01
82,2020-07-13 00:02:50.920000,11.600000,2.564017e+01
83,2020-07-13 00:02:51.053000,11.733000,2.564765e+01
84,2020-07-13 00:02:51.187000,11.867000,2.565763e+01
85,2020-07-13 00:02:51.320000,12.000000,2.565612e+01
86,2020-07-13 00:02:51.453000,12.133000,2.565742e+01
87,2020-07-13 00:02:51.586000,12.266000,2.565983e+01
88,2020-07-13 00:02:51.720000,12.400000,2.565938e+01
89,2020-07-13 00:02:51.853000,12.533000,2.565426e+01
90,2020-07-13 00:02:51.986000,12.666000,2.497027e+01
91,2020-07-13 00:02:52.253000,12.933000,2.565261e+01
92,2020-07-13 00:02:52.386000,13.066000,2.566299e+01
93,2020-07-13 00:02:52.519000,13.199000,2.566189e+01
94,2020-07-13 00:02:52.652000,13.332000,2.565582e+01
95,2020-07-13 00:02:52.786000,13.466000,2.566521e+01
96,2020-07-13 00:02:52.919000,13.599000,2.588322e+01
97,2020-07-13 00:02:53.052000,13.732000,2.587994e+01
98,2020-07-13 00:02:53.185000,13.865000,2.585889e+01
99,2020-07-13 00:02:53.318000,13.998000,2.569147e+01
100,2020-07-13 00:02:53.452000,14.132000,2.496119e+01
101,2020-07-13 00:02:53.585000,14.265000,2.544944e+01
102,2020-07-13 00:02:53.719000,14.399000,2.544660e+01
103,2020-07-13 00:02:53.852000,14.532000,2.504755e+01
104,2020-07-13 00:02:53.985000,14.665000,2.504915e+01
105,2020-07-13 00:02:54.118000,14.798000,2.498841e+01
106,2020-07-13 00:02:54.252000,14.932000,2.499538e+01
107,2020-07-13 00:02:54.518000,15.198000,2.500724e+01
108,2020-07-13 00:02:54.651000,15.331000,2.499245e+01
109,2020-07-13 00:02:54.785000,15.465000,2.500850e+01
110,2020-07-13 00:02:54.918000,15.598000,2.499425e+01
111,2020-07-13 00:02:55.052000,15.732000,2.501028e+01
112,2020-07-13 00:02:55.185000,15.865000,2.500756e+01
113,2020-07-13 00:02:55.318000,15.998000,2.498575e+01
114,2020-07-13 00:02:55.452000,16.132000,2.497778e+01
115,2020-07-13 00:02:55.585000,16.265000,2.497853e+01
116,2020-07-13 00:02:55.719000,16.399000,2.500549e+01
117,2020-07-13 00:02:55.851000,16.531000,2.500669e+01
118,2020-07-13 00:02:55.985000,16.665000,2.498185e+01
119,2020-07-13 00:02:56.118000,16.798000,2.498674e+01
120,2020-07-13 00:02:56.252000,16.932000,2.495374e+01
121,2020-07-13 00:02:56.385000,17.065000,2.498594e+01
122,2020-07-13 00:02:56.518000,17.198000,2.499688e+01
123,2020-07-13 00:02:56.785000,17.465000,2.498230e+01
124,2020-07-13 00:02:56.918000,17.598000,2.495705e+01
125,2020-07-13 00:02:57.051000,17.731000,2.498930e+01
126,2020-07-13 00:02:57.185000,17.865000,2.497948e+01
127,2020-07-13 00:02:57.318000,17.998000,2.496147e+01
128,2020-07-13 00:02:57.452000,18.132000,2.495660e+01
129,2020-07-13 00:02:57.585000,18.265000,2.495530e+01
130,2020-07-13 00:02:57.718000,18.398000,2.492818e+01
131,2020-07-13 00:02:57.851000,18.531000,2.496114e+01
132,2020-07-13 00:02:57.985000,18.665000,2.496679e+01
133,2020-07-13 00:02:58.118000,18.798000,2.495673e+01
134,2020-07-13 00:02:58.252000,18.932000,2.497642e+01
135,2020-07-13 00:02:58.385000,19.065000,2.497482e+01
136,2020-07-13 00:02:58.518000,19.198000,2.495161e+01
137,2020-07-13 00:02:58.785000,19.465000,2.493954e+01
138,2020-07-13 00:02:58.918000,19.598000,2.495288e+01
139,2020-07-13 00:02:59.051000,19.731000,2.493355e+01
140,2020-07-13 00:02:59.185000,19.865000,2.489525e+01
141,2020-07-13 00:02:59.318000,19.998000,2.490985e+01
142,2020-07-13 00:02:59.452000,20.132000,2.493552e+01
143,2020-07-13 00:02:59.585000,20.265000,2.492545e+01
144,2020-07-13 00:02:59.718000,20.398000,2.492113e+01
145,2020-07-13 00:02:59.851000,20.531000,2.491842e+01
146,2020-07-13 00:02:59.985000,20.665000,2.495805e+01
147,2020-07-13 00:03:00.118000,20.798000,2.493261e+01
148,2020-07-13 00:03:00.252000,20.932000,2.491474e+01
149,2020-07-13 00:03:00.385000,21.065000,2.493024e+01
150,2020-07-13 00:03:00.518000,21.198000,2.488895e+01
