frame,abstime,reltime,Line 2 [C]
0,2020-07-13 02:13:31.525000,0.000000,2.507748e+01
1,2020-07-13 02:13:31.659000,0.134000,2.546808e+01
2,2020-07-13 02:13:31.792000,0.267000,2.547614e+01
3,2020-07-13 02:13:31.925000,0.400000,2.548738e+01
4,2020-07-13 02:13:32.058000,0.533000,2.548466e+01
5,2020-07-13 02:13:32.192000,0.667000,2.548780e+01
6,2020-07-13 02:13:32.325000,0.800000,2.546969e+01
7,2020-07-13 02:13:32.459000,0.934000,2.549784e+01
8,2020-07-13 02:13:32.592000,1.067000,2.550337e+01
9,2020-07-13 02:13:32.725000,1.200000,2.552880e+01
10,2020-07-13 02:13:32.858000,1.333000,2.511475e+01
11,2020-07-13 02:13:32.992000,1.467000,2.551640e+01
12,2020-07-13 02:13:33.125000,1.600000,2.551628e+01
13,2020-07-13 02:13:33.258000,1.733000,2.550724e+01
14,2020-07-13 02:13:33.525000,2.000000,2.551422e+01
15,2020-07-13 02:13:33.658000,2.133000,2.549570e+01
16,2020-07-13 02:13:33.791000,2.266000,2.549801e+01
17,2020-07-13 02:13:33.924000,2.399000,2.548220e+01
18,2020-07-13 02:13:34.057000,2.532000,2.548901e+01
19,2020-07-13 02:13:34.191000,2.666000,2.549405e+01
20,2020-07-13 02:13:34.324000,2.799000,2.511058e+01
21,2020-07-13 02:13:34.458000,2.933000,2.497231e+01
22,2020-07-13 02:13:34.591000,3.066000,2.497652e+01
23,2020-07-13 02:13:34.724000,3.199000,2.495321e+01
24,2020-07-13 02:13:34.857000,3.332000,2.497616e+01
25,2020-07-13 02:13:34.991000,3.466000,2.497688e+01
26,2020-07-13 02:13:35.124000,3.599000,2.496568e+01
27,2020-07-13 02:13:35.257000,3.732000,2.498170e+01
28,2020-07-13 02:13:35.390000,3.865000,2.500690e+01
29,2020-07-13 02:13:35.524000,3.999000,2.497689e+01
30,2020-07-13 02:13:35.791000,4.266000,2.512635e+01
31,2020-07-13 02:13:35.924000,4.399000,2.498781e+01
32,2020-07-13 02:13:36.057000,4.532000,2.500329e+01
33,2020-07-13 02:13:36.191000,4.666000,2.496874e+01
34,2020-07-13 02:13:36.324000,4.799000,2.496419e+01
35,2020-07-13 02:13:36.457000,4.932000,2.496922e+01
36,2020-07-13 02:13:36.590000,5.065000,2.494923e+01
37,2020-07-13 02:13:36.724000,5.199000,2.496494e+01
38,2020-07-13 02:13:36.857000,5.332000,2.494982e+01
