frame,abstime,reltime,Line 2 [C]
0,2020-07-26 21:39:18.924000,0.000000,2.309986e+01
1,2020-07-26 21:39:19.057000,0.133000,2.308035e+01
2,2020-07-26 21:39:19.191000,0.267000,2.305261e+01
3,2020-07-26 21:39:19.324000,0.400000,2.303780e+01
4,2020-07-26 21:39:19.457000,0.533000,2.303604e+01
5,2020-07-26 21:39:19.591000,0.667000,2.304828e+01
6,2020-07-26 21:39:19.724000,0.800000,2.304630e+01
7,2020-07-26 21:39:19.858000,0.934000,2.303951e+01
8,2020-07-26 21:39:19.991000,1.067000,2.302261e+01
9,2020-07-26 21:39:20.124000,1.200000,2.300855e+01
10,2020-07-26 21:39:20.257000,1.333000,2.299720e+01
11,2020-07-26 21:39:20.391000,1.467000,2.296949e+01
12,2020-07-26 21:39:20.524000,1.600000,2.296912e+01
13,2020-07-26 21:39:20.657000,1.733000,2.297869e+01
14,2020-07-26 21:39:20.924000,2.000000,2.298014e+01
15,2020-07-26 21:39:21.057000,2.133000,2.297922e+01
16,2020-07-26 21:39:21.191000,2.267000,2.297067e+01
17,2020-07-26 21:39:21.324000,2.400000,2.301646e+01
18,2020-07-26 21:39:21.457000,2.533000,2.304389e+01
19,2020-07-26 21:39:21.591000,2.667000,2.304085e+01
20,2020-07-26 21:39:21.724000,2.800000,2.303272e+01
21,2020-07-26 21:39:21.858000,2.934000,2.302731e+01
22,2020-07-26 21:39:21.991000,3.067000,2.302689e+01
23,2020-07-26 21:39:22.124000,3.200000,2.303438e+01
24,2020-07-26 21:39:22.257000,3.333000,2.304544e+01
25,2020-07-26 21:39:22.391000,3.467000,2.305282e+01
26,2020-07-26 21:39:22.524000,3.600000,2.304085e+01
27,2020-07-26 21:39:22.657000,3.733000,2.305432e+01
28,2020-07-26 21:39:22.790000,3.866000,2.303234e+01
29,2020-07-26 21:39:22.924000,4.000000,2.303577e+01
30,2020-07-26 21:39:23.190000,4.266000,2.302566e+01
31,2020-07-26 21:39:23.323000,4.399000,2.303486e+01
32,2020-07-26 21:39:23.457000,4.533000,2.305052e+01
33,2020-07-26 21:39:23.591000,4.667000,2.306265e+01
34,2020-07-26 21:39:23.724000,4.800000,2.309852e+01
35,2020-07-26 21:39:23.857000,4.933000,2.310210e+01
36,2020-07-26 21:39:23.990000,5.066000,2.310900e+01
37,2020-07-26 21:39:24.124000,5.200000,2.310386e+01
38,2020-07-26 21:39:24.257000,5.333000,2.309505e+01
39,2020-07-26 21:39:24.391000,5.467000,2.308912e+01
40,2020-07-26 21:39:24.524000,5.600000,2.309425e+01
41,2020-07-26 21:39:24.657000,5.733000,2.309446e+01
42,2020-07-26 21:39:24.790000,5.866000,2.308265e+01
43,2020-07-26 21:39:24.924000,6.000000,2.308810e+01
44,2020-07-26 21:39:25.057000,6.133000,2.309446e+01
45,2020-07-26 21:39:25.323000,6.399000,2.309842e+01
46,2020-07-26 21:39:25.457000,6.533000,2.308966e+01
47,2020-07-26 21:39:25.591000,6.667000,2.310135e+01
48,2020-07-26 21:39:25.724000,6.800000,2.312593e+01
49,2020-07-26 21:39:25.857000,6.933000,2.306763e+01
50,2020-07-26 21:39:25.990000,7.066000,2.305122e+01
51,2020-07-26 21:39:26.124000,7.200000,2.305036e+01
52,2020-07-26 21:39:26.257000,7.333000,2.303785e+01
53,2020-07-26 21:39:26.391000,7.467000,2.301587e+01
54,2020-07-26 21:39:26.524000,7.600000,2.300405e+01
55,2020-07-26 21:39:26.657000,7.733000,2.299876e+01
56,2020-07-26 21:39:26.790000,7.866000,2.298917e+01
57,2020-07-26 21:39:26.924000,8.000000,2.300475e+01
58,2020-07-26 21:39:27.057000,8.133000,2.301443e+01
59,2020-07-26 21:39:27.190000,8.266000,2.302159e+01
60,2020-07-26 21:39:27.457000,8.533000,2.300844e+01
61,2020-07-26 21:39:27.591000,8.667000,2.300512e+01
62,2020-07-26 21:39:27.724000,8.800000,2.299340e+01
63,2020-07-26 21:39:27.857000,8.933000,2.300709e+01
64,2020-07-26 21:39:27.990000,9.066000,2.301116e+01
65,2020-07-26 21:39:28.124000,9.200000,2.302908e+01
66,2020-07-26 21:39:28.257000,9.333000,2.304496e+01
67,2020-07-26 21:39:28.390000,9.466000,2.304774e+01
68,2020-07-26 21:39:28.523000,9.599000,2.305752e+01
69,2020-07-26 21:39:28.657000,9.733000,2.306281e+01
70,2020-07-26 21:39:28.790000,9.866000,2.306427e+01
71,2020-07-26 21:39:28.924000,10.000000,2.305688e+01
72,2020-07-26 21:39:29.057000,10.133000,2.305335e+01
73,2020-07-26 21:39:29.190000,10.266000,2.306111e+01
74,2020-07-26 21:39:29.323000,10.399000,2.306234e+01
75,2020-07-26 21:39:29.457000,10.533000,2.306474e+01
76,2020-07-26 21:39:29.723000,10.799000,2.305833e+01
77,2020-07-26 21:39:29.856000,10.932000,2.305709e+01
78,2020-07-26 21:39:29.989000,11.065000,2.305844e+01
79,2020-07-26 21:39:30.123000,11.199000,2.307544e+01
80,2020-07-26 21:39:30.256000,11.332000,2.307201e+01
81,2020-07-26 21:39:30.389000,11.465000,2.307201e+01
82,2020-07-26 21:39:30.522000,11.598000,2.307201e+01
83,2020-07-26 21:39:30.656000,11.732000,2.307201e+01
84,2020-07-26 21:39:30.789000,11.865000,2.307201e+01
85,2020-07-26 21:39:30.923000,11.999000,2.307201e+01
86,2020-07-26 21:39:31.056000,12.132000,2.307201e+01
87,2020-07-26 21:39:31.189000,12.265000,2.307201e+01
88,2020-07-26 21:39:31.322000,12.398000,2.307201e+01
89,2020-07-26 21:39:31.456000,12.532000,2.307201e+01
90,2020-07-26 21:39:31.589000,12.665000,2.307201e+01
91,2020-07-26 21:39:31.856000,12.932000,2.307201e+01
92,2020-07-26 21:39:31.989000,13.065000,2.307201e+01
93,2020-07-26 21:39:32.123000,13.199000,2.307201e+01
94,2020-07-26 21:39:32.256000,13.332000,2.307201e+01
95,2020-07-26 21:39:32.389000,13.465000,2.307201e+01
96,2020-07-26 21:39:32.522000,13.598000,2.492383e+01
97,2020-07-26 21:39:32.656000,13.732000,2.530346e+01
98,2020-07-26 21:39:32.789000,13.865000,2.572712e+01
99,2020-07-26 21:39:32.923000,13.999000,2.616725e+01
100,2020-07-26 21:39:33.056000,14.132000,2.660088e+01
101,2020-07-26 21:39:33.189000,14.265000,2.710077e+01
102,2020-07-26 21:39:33.322000,14.398000,2.757598e+01
103,2020-07-26 21:39:33.456000,14.532000,2.810237e+01
104,2020-07-26 21:39:33.589000,14.665000,2.864517e+01
105,2020-07-26 21:39:33.722000,14.798000,2.924251e+01
106,2020-07-26 21:39:33.856000,14.932000,2.989085e+01
107,2020-07-26 21:39:34.123000,15.199000,3.100555e+01
108,2020-07-26 21:39:34.256000,15.332000,3.158541e+01
109,2020-07-26 21:39:34.389000,15.465000,3.214034e+01
110,2020-07-26 21:39:34.522000,15.598000,3.272544e+01
111,2020-07-26 21:39:34.656000,15.732000,3.329043e+01
112,2020-07-26 21:39:34.789000,15.865000,3.382765e+01
113,2020-07-26 21:39:34.922000,15.998000,3.441321e+01
114,2020-07-26 21:39:35.055000,16.131000,3.495900e+01
115,2020-07-26 21:39:35.189000,16.265000,3.545928e+01
116,2020-07-26 21:39:35.322000,16.398000,3.599946e+01
117,2020-07-26 21:39:35.456000,16.532000,3.649905e+01
118,2020-07-26 21:39:35.589000,16.665000,3.698261e+01
119,2020-07-26 21:39:35.722000,16.798000,3.745815e+01
120,2020-07-26 21:39:35.856000,16.932000,3.791780e+01
121,2020-07-26 21:39:35.989000,17.065000,3.838456e+01
122,2020-07-26 21:39:36.123000,17.199000,3.880825e+01
123,2020-07-26 21:39:36.389000,17.465000,3.968055e+01
124,2020-07-26 21:39:36.522000,17.598000,4.012219e+01
125,2020-07-26 21:39:36.656000,17.732000,4.053917e+01
126,2020-07-26 21:39:36.789000,17.865000,4.091538e+01
127,2020-07-26 21:39:36.922000,17.998000,4.130238e+01
128,2020-07-26 21:39:37.055000,18.131000,4.166416e+01
129,2020-07-26 21:39:37.189000,18.265000,4.202570e+01
130,2020-07-26 21:39:37.322000,18.398000,4.241097e+01
131,2020-07-26 21:39:37.456000,18.532000,4.281206e+01
132,2020-07-26 21:39:37.589000,18.665000,4.316414e+01
133,2020-07-26 21:39:37.722000,18.798000,4.347340e+01
134,2020-07-26 21:39:37.856000,18.932000,4.377303e+01
135,2020-07-26 21:39:37.989000,19.065000,4.409632e+01
136,2020-07-26 21:39:38.123000,19.199000,4.442506e+01
137,2020-07-26 21:39:38.389000,19.465000,4.499586e+01
138,2020-07-26 21:39:38.522000,19.598000,4.523944e+01
139,2020-07-26 21:39:38.656000,19.732000,4.553099e+01
140,2020-07-26 21:39:38.789000,19.865000,4.580617e+01
141,2020-07-26 21:39:38.922000,19.998000,4.606788e+01
142,2020-07-26 21:39:39.055000,20.131000,4.632966e+01
143,2020-07-26 21:39:39.189000,20.265000,4.658195e+01
144,2020-07-26 21:39:39.322000,20.398000,4.685760e+01
145,2020-07-26 21:39:39.455000,20.531000,4.711898e+01
146,2020-07-26 21:39:39.588000,20.664000,4.740062e+01
147,2020-07-26 21:39:39.722000,20.798000,4.766935e+01
