frame,abstime,reltime,Line 2 [C]
0,2020-07-21 04:47:59.953000,0.000000,2.374642e+01
1,2020-07-21 04:48:00.086000,0.133000,2.373725e+01
2,2020-07-21 04:48:00.220000,0.267000,2.373026e+01
3,2020-07-21 04:48:00.353000,0.400000,2.374284e+01
4,2020-07-21 04:48:00.486000,0.533000,2.373014e+01
5,2020-07-21 04:48:00.620000,0.667000,2.373529e+01
6,2020-07-21 04:48:00.753000,0.800000,2.375346e+01
7,2020-07-21 04:48:00.887000,0.934000,2.375369e+01
8,2020-07-21 04:48:01.020000,1.067000,2.373876e+01
9,2020-07-21 04:48:01.153000,1.200000,2.371723e+01
10,2020-07-21 04:48:01.286000,1.333000,2.372081e+01
11,2020-07-21 04:48:01.420000,1.467000,2.375112e+01
12,2020-07-21 04:48:01.553000,1.600000,2.371790e+01
13,2020-07-21 04:48:01.686000,1.733000,2.371857e+01
14,2020-07-21 04:48:01.953000,2.000000,2.379616e+01
15,2020-07-21 04:48:02.086000,2.133000,2.380343e+01
16,2020-07-21 04:48:02.220000,2.267000,2.379583e+01
17,2020-07-21 04:48:02.353000,2.400000,2.383131e+01
18,2020-07-21 04:48:02.486000,2.533000,2.380958e+01
19,2020-07-21 04:48:02.620000,2.667000,2.381478e+01
20,2020-07-21 04:48:02.753000,2.800000,2.379226e+01
21,2020-07-21 04:48:02.887000,2.934000,2.376755e+01
22,2020-07-21 04:48:03.020000,3.067000,2.376951e+01
23,2020-07-21 04:48:03.153000,3.200000,2.377392e+01
24,2020-07-21 04:48:03.286000,3.333000,2.376101e+01
25,2020-07-21 04:48:03.420000,3.467000,2.375151e+01
26,2020-07-21 04:48:03.553000,3.600000,2.374793e+01
27,2020-07-21 04:48:03.686000,3.733000,2.373921e+01
28,2020-07-21 04:48:03.819000,3.866000,2.373630e+01
29,2020-07-21 04:48:03.953000,4.000000,2.373266e+01
30,2020-07-21 04:48:04.219000,4.266000,2.383595e+01
31,2020-07-21 04:48:04.353000,4.400000,2.384997e+01
32,2020-07-21 04:48:04.486000,4.533000,2.386176e+01
33,2020-07-21 04:48:04.620000,4.667000,2.387058e+01
34,2020-07-21 04:48:04.753000,4.800000,2.387114e+01
35,2020-07-21 04:48:04.886000,4.933000,2.386254e+01
36,2020-07-21 04:48:05.019000,5.066000,2.385851e+01
37,2020-07-21 04:48:05.153000,5.200000,2.386293e+01
38,2020-07-21 04:48:05.286000,5.333000,2.385880e+01
39,2020-07-21 04:48:05.420000,5.467000,2.384394e+01
40,2020-07-21 04:48:05.553000,5.600000,2.385690e+01
41,2020-07-21 04:48:05.686000,5.733000,2.388102e+01
42,2020-07-21 04:48:05.819000,5.866000,2.383891e+01
