dry,,mositure 4 dyas,,moisture 1 day,
Temp (degC),Contraction (%),Temp (degC),Contraction (%),Temp (degC),Contraction (%)
24.46153846,-0.00080429,24.61538462,-0.002680965,25.2254477,0.00104
24.76923077,-0.00080429,25.30769231,-0.002680965,25.45787714,0.00104
25.23076923,-0.00080429,25.84615385,-0.00080429,25.69030659,0.00104
25.76923077,-0.00080429,26.38461538,-0.00080429,26.07768899,0.00104
26.23076923,-0.00080429,27.07692308,-0.00080429,26.54267183,0.00248
26.53846154,-0.00080429,27.69230769,-0.002680965,26.85257775,0.00248
27,-0.00080429,28.23076923,-0.002680965,27.23989817,0.00176
27.38461538,-0.00080429,29,0.001072386,27.5498041,0.00176
27.84615385,-0.00080429,29.61538462,-0.002680965,28.01466298,0.00176
28.23076923,-0.00080429,30.46153846,-0.002680965,28.40204538,0.00176
28.53846154,-0.00080429,31.46153846,-0.004557641,28.78942778,0.00176
28.92307692,-0.00080429,32.23076923,-0.006434316,29.09927172,0.00104
29.30769231,-0.00080429,33,-0.006434316,29.79656004,0.00104
29.69230769,-0.00080429,33.61538462,-0.012064343,30.64880133,0.00104
30.07692308,-0.00080429,34.23076923,-0.01769437,31.19113669,0.00104
30.53846154,-0.00080429,34.84615385,-0.019571046,31.88836303,0.00032
31,-0.00080429,35.46153846,-0.021447721,32.66318982,0.00104
31.46153846,-0.00080429,36.15384615,-0.025201072,33.5154311,0.00104
31.84615385,-0.00080429,36.84615385,-0.032707775,34.44508688,0.00032
32.30769231,-0.00080429,37.61538462,-0.038337802,35.14237521,0.00032
32.76923077,0.001072386,38.38461538,-0.043967828,35.76218705,0.00032
33.30769231,0.001072386,39.07692308,-0.053351206,36.69190481,0.00032
34,0.001072386,39.84615385,-0.057104558,37.38913116,-0.0004
34.61538462,0.001072386,40.38461538,-0.062734584,38.39638738,0.00032
35.23076923,0.001072386,41,-0.072117962,39.24862867,0.00032
36.15384615,0.001072386,41.76923077,-0.079624665,40.02339347,0.00032
36.92307692,0.001072386,42.61538462,-0.087131367,41.03058771,0.00032
37.53846154,0.001072386,43.23076923,-0.092761394,41.72781406,-0.0004
37.76923077,0.001072386,43.84615385,-0.100268097,42.73494632,-0.00112
38.46153846,0.001072386,44.53846154,-0.107774799,44.20693747,-0.00184
39,0.001072386,45.15384615,-0.115281501,45.21406973,-0.00256
39.61538462,0.001072386,46,-0.124664879,46.22126397,-0.00256
40.23076923,-0.00080429,46.84615385,-0.132171582,47.30574875,-0.00472
40.76923077,-0.00080429,47.38461538,-0.139678284,48.46771002,-0.00688
41.30769231,-0.00080429,48,-0.147184987,49.62954732,-0.01048
41.92307692,-0.00080429,48.61538462,-0.152815013,51.10110459,-0.01624
42.53846154,-0.00080429,49.15384615,-0.162198391,52.26281793,-0.02128
43.23076923,-0.00080429,49.76923077,-0.169705094,53.11474931,-0.02488
43.92307692,-0.002680965,50.30769231,-0.177211796,54.04384726,-0.03208
44.84615385,-0.002680965,51,-0.186595174,54.8955927,-0.03784
45.84615385,-0.002680965,51.53846154,-0.197855228,56.13459657,-0.04504
