frame,abstime,reltime,Line 2 [C]
0,2020-07-27 00:53:01.266000,0.000000,2.466891e+01
1,2020-07-27 00:53:01.399000,0.133000,2.469903e+01
2,2020-07-27 00:53:01.533000,0.267000,2.469985e+01
3,2020-07-27 00:53:01.666000,0.400000,2.471589e+01
4,2020-07-27 00:53:01.799000,0.533000,2.470253e+01
5,2020-07-27 00:53:01.933000,0.667000,2.473276e+01
6,2020-07-27 00:53:02.066000,0.800000,2.475407e+01
7,2020-07-27 00:53:02.200000,0.934000,2.474185e+01
8,2020-07-27 00:53:02.333000,1.067000,2.472888e+01
9,2020-07-27 00:53:02.466000,1.200000,2.474061e+01
10,2020-07-27 00:53:02.599000,1.333000,2.477187e+01
11,2020-07-27 00:53:02.733000,1.467000,2.477343e+01
12,2020-07-27 00:53:02.866000,1.600000,2.481616e+01
13,2020-07-27 00:53:02.999000,1.733000,2.483954e+01
14,2020-07-27 00:53:03.266000,2.000000,2.487611e+01
15,2020-07-27 00:53:03.399000,2.133000,2.488786e+01
16,2020-07-27 00:53:03.533000,2.267000,2.492865e+01
17,2020-07-27 00:53:03.666000,2.400000,2.494487e+01
18,2020-07-27 00:53:03.799000,2.533000,2.496655e+01
19,2020-07-27 00:53:03.933000,2.667000,2.498300e+01
20,2020-07-27 00:53:04.066000,2.800000,2.500054e+01
21,2020-07-27 00:53:04.200000,2.934000,2.501992e+01
22,2020-07-27 00:53:04.333000,3.067000,2.503700e+01
23,2020-07-27 00:53:04.466000,3.200000,2.506084e+01
24,2020-07-27 00:53:04.599000,3.333000,2.505185e+01
25,2020-07-27 00:53:04.733000,3.467000,2.502148e+01
26,2020-07-27 00:53:04.866000,3.600000,2.502503e+01
27,2020-07-27 00:53:04.999000,3.733000,2.500499e+01
28,2020-07-27 00:53:05.132000,3.866000,2.501568e+01
29,2020-07-27 00:53:05.266000,4.000000,2.500004e+01
30,2020-07-27 00:53:05.532000,4.266000,2.501658e+01
31,2020-07-27 00:53:05.665000,4.399000,2.499279e+01
32,2020-07-27 00:53:05.799000,4.533000,2.497106e+01
33,2020-07-27 00:53:05.932000,4.666000,2.496632e+01
34,2020-07-27 00:53:06.065000,4.799000,2.497332e+01
35,2020-07-27 00:53:06.198000,4.932000,2.492178e+01
36,2020-07-27 00:53:06.331000,5.065000,2.492059e+01
37,2020-07-27 00:53:06.465000,5.199000,2.492226e+01
38,2020-07-27 00:53:06.598000,5.332000,2.490592e+01
39,2020-07-27 00:53:06.732000,5.466000,2.486656e+01
40,2020-07-27 00:53:06.865000,5.599000,2.491490e+01
41,2020-07-27 00:53:06.998000,5.732000,2.490208e+01
42,2020-07-27 00:53:07.131000,5.865000,2.487030e+01
43,2020-07-27 00:53:07.265000,5.999000,2.489764e+01
44,2020-07-27 00:53:07.398000,6.132000,2.485416e+01
45,2020-07-27 00:53:07.664000,6.398000,2.486522e+01
46,2020-07-27 00:53:07.798000,6.532000,2.485556e+01
47,2020-07-27 00:53:07.931000,6.665000,2.485045e+01
48,2020-07-27 00:53:08.065000,6.799000,2.487739e+01
49,2020-07-27 00:53:08.198000,6.932000,2.486985e+01
50,2020-07-27 00:53:08.331000,7.065000,2.487757e+01
51,2020-07-27 00:53:08.465000,7.199000,2.486999e+01
52,2020-07-27 00:53:08.598000,7.332000,2.488281e+01
53,2020-07-27 00:53:08.732000,7.466000,2.488811e+01
54,2020-07-27 00:53:08.865000,7.599000,2.490320e+01
55,2020-07-27 00:53:08.998000,7.732000,2.488720e+01
56,2020-07-27 00:53:09.131000,7.865000,2.490235e+01
57,2020-07-27 00:53:09.265000,7.999000,2.488069e+01
58,2020-07-27 00:53:09.398000,8.132000,2.488053e+01
59,2020-07-27 00:53:09.531000,8.265000,2.486849e+01
60,2020-07-27 00:53:09.798000,8.532000,2.484906e+01
61,2020-07-27 00:53:09.931000,8.665000,2.486311e+01
62,2020-07-27 00:53:10.065000,8.799000,2.486853e+01
63,2020-07-27 00:53:10.198000,8.932000,2.483976e+01
64,2020-07-27 00:53:10.331000,9.065000,2.484697e+01
65,2020-07-27 00:53:10.465000,9.199000,2.486099e+01
66,2020-07-27 00:53:10.598000,9.332000,2.490498e+01
67,2020-07-27 00:53:10.731000,9.465000,2.530769e+01
68,2020-07-27 00:53:10.864000,9.598000,2.569940e+01
69,2020-07-27 00:53:10.998000,9.732000,2.574581e+01
70,2020-07-27 00:53:11.131000,9.865000,2.567057e+01
71,2020-07-27 00:53:11.265000,9.999000,2.553120e+01
72,2020-07-27 00:53:11.398000,10.132000,2.547749e+01
73,2020-07-27 00:53:11.531000,10.265000,2.545927e+01
74,2020-07-27 00:53:11.664000,10.398000,2.555838e+01
