frame,abstime,reltime,Line 2 [C]
0,2020-07-28 01:41:28.249000,0.000000,2.508260e+01
1,2020-07-28 01:41:28.383000,0.134000,2.507277e+01
2,2020-07-28 01:41:28.516000,0.267000,2.507899e+01
3,2020-07-28 01:41:28.649000,0.400000,2.506418e+01
4,2020-07-28 01:41:28.783000,0.534000,2.506651e+01
5,2020-07-28 01:41:28.916000,0.667000,2.504076e+01
6,2020-07-28 01:41:29.050000,0.801000,2.503280e+01
7,2020-07-28 01:41:29.183000,0.934000,2.500450e+01
8,2020-07-28 01:41:29.316000,1.067000,2.499041e+01
9,2020-07-28 01:41:29.449000,1.200000,2.500098e+01
10,2020-07-28 01:41:29.583000,1.334000,2.498379e+01
11,2020-07-28 01:41:29.716000,1.467000,2.494378e+01
12,2020-07-28 01:41:29.849000,1.600000,2.495853e+01
13,2020-07-28 01:41:29.982000,1.733000,2.494821e+01
14,2020-07-28 01:41:30.116000,1.867000,2.491446e+01
15,2020-07-28 01:41:30.383000,2.134000,2.494078e+01
16,2020-07-28 01:41:30.516000,2.267000,2.492858e+01
17,2020-07-28 01:41:30.649000,2.400000,2.492237e+01
18,2020-07-28 01:41:30.783000,2.534000,2.490828e+01
19,2020-07-28 01:41:30.916000,2.667000,2.490546e+01
20,2020-07-28 01:41:31.050000,2.801000,2.490609e+01
21,2020-07-28 01:41:31.183000,2.934000,2.491541e+01
22,2020-07-28 01:41:31.316000,3.067000,2.489456e+01
23,2020-07-28 01:41:31.449000,3.200000,2.488195e+01
24,2020-07-28 01:41:31.583000,3.334000,2.484891e+01
25,2020-07-28 01:41:31.716000,3.467000,2.482707e+01
26,2020-07-28 01:41:31.849000,3.600000,2.483007e+01
27,2020-07-28 01:41:31.982000,3.733000,2.482874e+01
28,2020-07-28 01:41:32.116000,3.867000,2.484714e+01
29,2020-07-28 01:41:32.249000,4.000000,2.486740e+01
30,2020-07-28 01:41:32.383000,4.134000,2.484628e+01
31,2020-07-28 01:41:32.516000,4.267000,2.484612e+01
32,2020-07-28 01:41:32.783000,4.534000,2.476551e+01
33,2020-07-28 01:41:32.916000,4.667000,2.478020e+01
34,2020-07-28 01:41:33.050000,4.801000,2.477764e+01
35,2020-07-28 01:41:33.183000,4.934000,2.477136e+01
36,2020-07-28 01:41:33.316000,5.067000,2.479489e+01
37,2020-07-28 01:41:33.449000,5.200000,2.478751e+01
38,2020-07-28 01:41:33.583000,5.334000,2.478141e+01
39,2020-07-28 01:41:33.716000,5.467000,2.480165e+01
40,2020-07-28 01:41:33.849000,5.600000,2.478186e+01
41,2020-07-28 01:41:33.982000,5.733000,2.476198e+01
42,2020-07-28 01:41:34.116000,5.867000,2.476692e+01
43,2020-07-28 01:41:34.249000,6.000000,2.476315e+01
44,2020-07-28 01:41:34.382000,6.133000,2.473950e+01
45,2020-07-28 01:41:34.516000,6.267000,2.472563e+01
46,2020-07-28 01:41:34.783000,6.534000,2.467886e+01
47,2020-07-28 01:41:34.916000,6.667000,2.464618e+01
48,2020-07-28 01:41:35.049000,6.800000,2.463043e+01
49,2020-07-28 01:41:35.182000,6.933000,2.465787e+01
50,2020-07-28 01:41:35.316000,7.067000,2.464319e+01
51,2020-07-28 01:41:35.449000,7.200000,2.463465e+01
52,2020-07-28 01:41:35.583000,7.334000,2.459685e+01
53,2020-07-28 01:41:35.716000,7.467000,2.462965e+01
54,2020-07-28 01:41:35.849000,7.600000,2.460756e+01
55,2020-07-28 01:41:35.982000,7.733000,2.459974e+01
56,2020-07-28 01:41:36.116000,7.867000,2.463977e+01
57,2020-07-28 01:41:36.249000,8.000000,2.462496e+01
58,2020-07-28 01:41:36.382000,8.133000,2.460265e+01
59,2020-07-28 01:41:36.515000,8.266000,2.461005e+01
60,2020-07-28 01:41:36.648000,8.399000,2.458171e+01
61,2020-07-28 01:41:36.782000,8.533000,2.456568e+01
62,2020-07-28 01:41:37.048000,8.799000,2.457797e+01
63,2020-07-28 01:41:37.181000,8.932000,2.455210e+01
64,2020-07-28 01:41:37.315000,9.066000,2.460115e+01
65,2020-07-28 01:41:37.448000,9.199000,2.460279e+01
66,2020-07-28 01:41:37.582000,9.333000,2.461400e+01
67,2020-07-28 01:41:37.715000,9.466000,2.461518e+01
68,2020-07-28 01:41:37.848000,9.599000,2.458916e+01
69,2020-07-28 01:41:37.981000,9.732000,2.460096e+01
70,2020-07-28 01:41:38.115000,9.866000,2.460651e+01
